,t_idx,u_abs_eff_FLORIS,Ct_FLORIS,AI_FLORIS,TI_FLORIS,Power_FLORIS,power_OFF,time
0,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,0.0
1,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,0.0
2,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,4.0
3,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,4.0
4,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,8.0
5,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,8.0
6,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,12.0
7,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,12.0
8,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,16.0
9,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,16.0
10,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,20.0
11,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,20.0
12,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,4448638.637401135,24.0
13,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,24.0
14,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,28.0
15,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,28.0
16,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,32.0
17,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,32.0
18,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,36.0
19,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,36.0
20,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,40.0
21,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,40.0
22,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,44.0
23,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,44.0
24,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,48.0
25,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,48.0
26,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,52.0
27,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,52.0
28,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,56.0
29,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,56.0
30,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,60.0
31,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,60.0
32,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,64.0
33,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,64.0
34,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,68.0
35,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,68.0
36,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,72.0
37,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,72.0
38,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,76.0
39,1,9.380351245477431,0.78506827057207,0.2681963495607058,0.08212102018819603,2872214.5349276806,2849532.503548448,76.0
40,0,11.960528720118884,0.517703752370802,0.15079323145304607,0.06652634261036444,5000000.0,4448638.637401135,80.0
41,1,9.496180605958207,0.7848334800568597,0.2680697734537711,0.08209705853146021,2979915.9752466967,2955763.4833288947,80.0
